publ_0594,Chappell
publ_0594,Chappell &
publ_0594,Chappell & Co
publ_0595,Chmel
publ_0596,Choudens
publ_0597,Choudens
publ_0597,Choudens & Co
publ_0598,Christen
publ_0599,Christian
publ_0600,Christiani
publ_0601,Christliches Verlagshaus
publ_0602,Chr. u. Kuhe
publ_0602,Christoph
publ_0602,Christoph &
publ_0602,Christoph & K
publ_0602,Christoph & Kuhé
publ_0602,Christoph u K
publ_0602,Christoph u Kuhe
publ_0602,Christoph u. K
publ_0602,Christoph u. Kuhe
publ_0602,Christoph u. Kuhé
publ_0602,Christoph und K
publ_0603,Th John Church Co
publ_0603,The John Church & Co
publ_0603,The John Church Co
publ_0603,The John Curch Co
publ_0604,Cieslar
publ_0605,Clar
publ_0606,Classische Buchhandl
publ_0607,Clemm
publ_0608,Cnobloch
publ_0609,Cocks
publ_0610,Cocks & Co
publ_0610,Cocks et Co
publ_0612,Cohen
publ_0613,Cohen & Sohn
publ_0613,Cohen u. S
publ_0614,G. Cohen
publ_0615,Cohn
publ_0616,Alb. Cohn
publ_0617,Colditz
publ_0619,Coll. Litolff
publ_0620,Collin
publ_0621,Colombier
publ_0622,Compt. de Musique moderne
publ_0622,Comptoir de Musique moderne
publ_0623,Concordia
publ_0624,Conrad
publ_0625,C.F. Conrad
publ_0626,Conti
publ_0627,Coppenrath
publ_0628,Coppenrath’s Kirchenmusik Verlag
publ_0628,Coppenrath’s Kirchenmusik-Verl
publ_0628,Coppenrath’s Kirchenmusik-Verlag
publ_0629,Coppenrath Verl
publ_0629,Coppenrath’s Verl
publ_0630,Coppenrath’sche Buchhdl
publ_0631,Cordier
publ_0632,Cosmar et
publ_0632,Cosmar et Krause
publ_0632,Cosmar u.
publ_0632,Cosmar u. K
publ_0632,Cosmar u. Krause
publ_0633,Costa
publ_0634,Costallat & Co
publ_0635,Costenoble
publ_0636,Cotta
publ_0637,Cotta Nachf
